food,calories,protein,fat,carbs,fiber,sugar
teh,1,0.0,0.0,0.3,0.0,0.0
pempek,213,11.6,7.3,28.9,1.0,2.8
lumpia,189,6.4,7.9,21.5,2.2,3.2
gula_pasir,420,0.0,0.0,97.0,0.0,95.4
popcorn,421,12.9,5.1,73.1,16.0,0.9
bakso,214,17.8,11.7,7.3,0.5,1.9
es_krim,195,3.5,10.4,23.5,0.7,20.5
timun,16,0.8,0.1,3.8,0.5,1.9
madu,308,0.3,0.0,90.1,0.2,88.7
roti_gandum,262,13.8,3.4,44.3,6.6,4.4
tahu_goreng,147,11.6,8.8,5.0,2.2,0.8
air_kelapa,21,0.7,0.2,3.9,1.0,2.8
cumi-cumi,99,16.1,1.3,2.9,0.0,0.0
kue_lapis,271,5.0,8.4,41.1,1.0,24.2
teh,1,0.0,0.0,0.3,0.0,0.0
burger,291,16.3,14.3,22.7,1.6,4.1
jeruk,51,1.0,0.1,12.8,2.6,9.5
kue_kering,462,5.4,24.5,70.3,1.9,25.8
opor_ayam,283,24.4,20.8,6.1,0.9,1.9
ubi_jalar,90,1.5,0.1,20.0,3.0,4.1
kue_kering,545,5.7,22.2,61.6,2.0,26.2
pepaya,39,0.5,0.3,11.5,1.6,8.6
martabak_manis,359,7.3,18.7,51.7,1.6,28.0
mangga,63,0.8,0.4,13.9,1.5,14.0
sawi,13,1.4,0.2,2.3,1.0,1.3
ikan_tuna,131,23.1,5.3,0.0,0.0,0.0
ubi_jalar,83,1.5,0.1,18.8,3.0,3.6
pecel_lele,260,19.5,18.6,12.8,1.9,1.6
tahu_goreng,138,12.0,9.2,4.9,2.5,0.8
daging_sapi,253,28.3,16.2,0.0,0.0,0.0
air_kelapa,17,0.7,0.2,3.6,1.1,2.6
sandwich,299,15.2,11.8,37.8,2.8,5.2
hotdog,306,10.7,16.5,22.7,0.9,3.8
popcorn,407,13.7,5.0,76.8,16.2,0.8
mie_instan,405,10.0,15.2,51.1,2.3,3.1
klepon,142,2.0,4.3,30.0,1.6,15.2
donat,457,5.3,23.0,54.9,1.3,25.3
pepaya,43,0.5,0.3,10.7,1.8,7.5
opor_ayam,294,25.1,21.5,6.0,1.1,2.0
daging_sapi,250,28.6,14.8,0.0,0.0,0.0
roti_tawar,282,9.6,3.2,45.9,2.8,4.8
kangkung,20,2.5,0.3,3.2,2.0,0.5
puding,136,3.1,2.3,25.5,0.5,21.1
pempek,231,10.3,8.6,29.7,1.1,2.9
mangga,61,0.9,0.4,16.1,1.7,14.2
nasi_putih,136,2.6,0.3,26.2,0.4,0.1
sawi,13,1.4,0.2,2.1,1.0,1.2
daging_kambing,240,27.0,13.9,0.0,0.0,0.0
nasi_merah,118,2.4,0.8,23.1,1.9,0.3
batagor,194,9.5,8.4,19.0,1.3,1.8
tahu_goreng,145,12.2,8.5,4.9,2.3,0.8
donat,424,5.0,25.7,49.9,1.4,29.1
minyak_goreng,878,0.0,97.0,0.0,0.0,0.0
kentang_goreng,290,3.7,16.3,39.9,3.9,0.3
teh,1,0.0,0.0,0.3,0.0,0.0
martabak_manis,395,8.8,18.8,46.9,1.5,30.8
kepiting,96,19.8,1.2,0.0,0.0,0.0
ubi_jalar,84,1.7,0.1,20.3,3.1,4.3
sawi,13,1.5,0.2,2.1,1.1,1.3
sambal_goreng,150,5.5,10.0,9.2,1.8,2.8
timun,15,0.7,0.1,3.7,0.5,1.7
siomay,163,8.4,6.4,15.3,1.5,2.1
sosis,282,13.0,28.8,2.0,0.0,1.6
lemper,171,5.3,6.7,26.2,1.3,1.0
donat,475,5.0,23.8,49.5,1.4,25.4
es_krim,218,3.6,11.4,26.4,0.7,21.2
sayur_asem,66,2.5,1.6,11.0,3.2,3.8
coklat,580,4.6,33.0,60.5,7.0,52.5
susu_kedelai,54,3.4,1.9,6.4,0.6,3.8
martabak_telur,326,14.5,16.8,27.4,2.0,1.8
pecel_lele,260,18.3,17.9,12.8,2.0,1.6
risoles,247,8.6,13.9,23.3,1.6,2.2
jeruk,44,0.8,0.1,12.5,2.4,9.0
ayam_goreng,249,25.4,13.5,0.0,0.0,0.0
minyak_goreng,873,0.0,90.3,0.0,0.0,0.0
kue_lapis,273,4.6,7.4,44.9,1.0,27.4
coklat,517,4.7,33.4,65.5,7.2,44.3
nugget,312,13.3,17.2,19.1,1.3,1.5
jus_apel,42,0.1,0.1,11.6,0.2,9.1
jus_jeruk,43,0.7,0.2,9.5,0.2,8.3
jus_jeruk,49,0.7,0.2,10.3,0.2,8.2
tempe_goreng,193,19.8,10.3,9.4,4.2,1.5
strawberry,32,0.7,0.3,7.6,2.1,5.1
lemper,204,5.5,6.5,27.8,1.1,1.0
coklat,568,5.5,32.4,61.9,7.3,52.4
strawberry,29,0.7,0.3,8.2,1.8,5.0
ikan_bakar,189,25.9,7.0,0.0,0.0,0.0
popcorn,380,13.0,5.1,80.6,13.8,0.9
nasi_putih,134,2.9,0.3,26.9,0.4,0.1
sayur_asem,69,2.4,1.6,12.2,2.8,3.9
ayam_panggang,167,31.5,3.9,0.0,0.0,0.0
ikan_salmon,195,22.8,13.8,0.0,0.0,0.0
keripik,546,7.1,31.5,47.3,4.2,0.9
kopi,2,0.3,0.0,0.0,0.0,0.0
nugget,303,13.2,19.4,19.8,1.1,1.5
kangkung,17,2.6,0.3,3.0,1.9,0.5
kopi,2,0.3,0.0,0.0,0.0,0.0
opor_ayam,321,25.4,24.2,5.9,1.0,2.2
air_kelapa,21,0.7,0.2,3.4,1.2,2.4
susu_kedelai,57,3.5,1.9,6.4,0.6,4.4
hotdog,296,9.5,18.1,23.9,1.0,4.3
sayur_lodeh,120,4.3,8.7,10.7,2.4,3.2
kepiting,92,18.4,1.4,0.0,0.0,0.0
mie_instan,348,10.3,13.9,46.8,2.7,3.2
teh,1,0.0,0.0,0.3,0.0,0.0
udang,109,24.7,0.3,0.2,0.0,0.0
sayur_lodeh,139,4.0,8.2,11.6,2.7,3.0
kangkung,21,2.8,0.3,2.8,1.9,0.5
lumpia,169,5.9,7.7,21.9,2.0,3.3
jeruk,44,1.0,0.1,10.9,2.5,9.6
bayam,23,2.7,0.4,3.9,2.0,0.4
kentang,83,2.2,0.1,17.7,1.9,0.8
melon,33,0.8,0.2,7.4,0.8,7.3
lumpia,161,5.5,8.3,22.5,2.1,3.2
kepiting,92,18.5,1.2,0.0,0.0,0.0
selai,260,0.4,0.1,74.2,0.9,49.5
madu,331,0.3,0.0,79.3,0.2,80.6
ubi_jalar,87,1.7,0.1,21.7,3.2,4.4
martabak_manis,373,8.5,16.4,49.8,1.5,27.5
martabak_manis,398,8.1,18.4,50.1,1.4,26.1
sayur_asem,67,2.6,1.5,11.6,2.9,4.4
sandwich,320,14.4,11.6,35.3,2.8,5.3
kacang_merah,305,21.6,1.1,64.6,14.4,2.1
yogurt,63,3.4,0.4,11.0,0.0,11.5
martabak_telur,326,15.1,15.3,23.2,1.9,1.9
kacang_tanah,513,24.8,46.2,15.6,8.3,3.9
brokoli,57,4.0,0.6,10.8,3.6,1.8
wortel,43,0.9,0.2,9.2,2.8,5.0
roti_gandum,248,12.9,3.6,44.2,6.8,4.4
roti_gandum,242,13.0,3.7,42.8,7.6,3.8
nugget,300,14.0,18.2,18.6,1.1,1.4
mentega,778,0.9,75.2,0.1,0.0,0.1
popcorn,417,12.2,4.9,70.3,14.2,0.8
semangka,30,0.6,0.2,8.1,0.4,6.0
jus_apel,42,0.1,0.1,11.9,0.2,9.7
kentang_goreng,331,3.5,14.3,41.0,3.9,0.3
anggur,62,0.7,0.2,19.4,0.9,16.1
air_kelapa,19,0.6,0.2,3.5,1.0,2.8
sayur_asem,68,2.6,1.5,11.8,2.7,4.2
lumpia,173,5.5,8.7,24.0,1.9,2.9
hotdog,264,10.0,18.2,22.6,0.9,3.6
minuman_bersoda,39,0.0,0.0,10.1,0.0,9.9
kopi,2,0.3,0.0,0.0,0.0,0.0
siomay,163,9.4,7.1,16.1,1.6,2.1
daging_kambing,252,27.0,12.9,0.0,0.0,0.0
mie_instan,358,9.1,12.8,49.0,2.3,2.7
daging_kambing,213,26.0,12.2,0.0,0.0,0.0
tumis_kangkung,55,2.9,2.5,5.7,2.6,1.0
lumpia,171,6.5,8.0,21.2,1.8,3.1
anggur,63,0.6,0.2,17.8,1.0,14.7
daging_kambing,247,25.4,12.8,0.0,0.0,0.0
kangkung,18,2.5,0.3,2.8,1.9,0.5
klepon,160,2.2,4.4,27.2,1.6,15.1
puding,145,3.2,2.6,27.9,0.5,21.1
roti_gandum,250,13.3,3.3,45.0,7.4,4.3
capcay,94,4.0,2.9,11.4,3.2,4.8
tomat,16,0.9,0.2,3.6,1.3,2.8
melon,36,0.8,0.2,7.9,0.9,7.8
edamame,111,10.0,4.8,10.4,5.5,2.0
selai,287,0.4,0.1,69.4,0.9,48.7
onde-onde,234,4.1,8.8,37.6,2.1,17.6
yogurt,56,3.4,0.4,10.6,0.0,10.5
nugget,310,14.1,18.3,18.2,1.3,1.4
mie_instan,397,10.4,15.1,50.1,2.5,3.0
kacang_merah,303,23.5,1.0,58.9,16.0,2.1
kopi,2,0.3,0.0,0.0,0.0,0.0
risoles,224,7.6,13.9,25.0,1.4,2.0
semangka,29,0.6,0.2,7.2,0.4,6.4
soto_ayam,153,14.0,6.5,12.6,1.1,1.9
sate_ayam,213,27.0,7.6,3.1,0.3,2.1
mie_ayam,269,11.3,7.4,47.2,2.2,2.9
siomay,151,9.7,7.5,15.1,1.6,1.9
wortel,43,0.9,0.2,9.3,2.7,5.3
lemper,181,4.7,7.1,25.7,1.2,1.1
kue_kering,527,6.4,22.6,63.3,1.9,25.2
lemper,171,5.1,7.5,27.0,1.3,1.0
pempek,202,11.0,8.3,28.3,1.0,2.7
pisang,88,1.0,0.3,24.5,2.8,12.1
telur_rebus,145,13.3,10.9,1.1,0.0,0.6
kopi,2,0.3,0.0,0.0,0.0,0.0
bayam,21,2.8,0.4,3.3,2.2,0.4
yogurt,64,3.5,0.4,9.9,0.0,11.0
semangka,30,0.6,0.2,7.6,0.4,5.6
udang,103,22.8,0.3,0.2,0.0,0.0
semangka,32,0.6,0.2,7.7,0.4,5.4
keripik,586,6.1,34.7,51.9,4.7,1.0
bakso,198,17.4,10.5,8.4,0.5,2.1
jus_apel,47,0.1,0.1,11.9,0.2,10.0
sawi,12,1.4,0.2,2.3,1.0,1.2
kopi,2,0.3,0.0,0.0,0.0,0.0
jagung,92,3.1,1.6,22.1,2.5,5.4
kroket,186,7.3,11.1,17.1,1.9,1.5
daging_kambing,241,28.5,12.8,0.0,0.0,0.0
kue_lapis,284,5.3,8.6,47.2,1.1,23.0
opor_ayam,330,24.6,23.7,6.0,1.1,1.9
jagung,103,3.1,1.4,23.0,2.6,4.5
tahu_goreng,134,11.5,9.6,4.7,2.2,0.8
hotdog,285,10.3,17.5,21.7,0.9,3.7
kentang,80,2.1,0.1,17.3,2.2,0.8
donat,451,5.3,26.2,53.1,1.3,27.2
gula_pasir,354,0.0,0.0,108.3,0.0,109.4
opor_ayam,309,21.8,21.9,5.7,1.0,2.2
udang,101,23.7,0.3,0.2,0.0,0.0
sawi,13,1.4,0.2,2.3,1.0,1.1
perkedel,175,5.2,8.5,17.5,2.1,0.9
kacang_hijau,353,24.4,1.1,61.9,14.8,7.2
daging_kambing,251,29.0,12.8,0.0,0.0,0.0
gado-gado,185,7.3,11.3,14.1,3.7,6.0
nasi_merah,107,2.3,0.7,22.2,1.9,0.3
minuman_bersoda,42,0.0,0.0,10.1,0.0,10.0
sayur_asem,64,2.7,1.4,11.6,3.2,4.1
roti_gandum,246,12.0,3.1,39.2,6.5,3.8
jeruk,48,0.8,0.1,11.9,2.2,9.3
udang,92,23.9,0.3,0.2,0.0,0.0
siomay,153,8.7,6.4,14.5,1.6,2.1
ubi_jalar,86,1.5,0.1,21.0,2.7,4.2
strawberry,29,0.7,0.3,7.7,1.9,4.6
capcay,93,4.0,3.0,11.0,3.1,5.1
strawberry,30,0.6,0.3,7.2,2.2,5.2
sawi,13,1.6,0.2,2.3,1.0,1.2
keripik,534,6.5,32.4,50.2,4.6,1.1
ubi_jalar,77,1.6,0.1,20.5,2.8,4.2
sambal_goreng,153,5.5,10.2,9.7,2.0,3.0
opor_ayam,282,24.2,22.9,6.3,1.0,1.9
siomay,162,9.1,7.3,14.2,1.4,1.9
nasi_merah,106,2.5,0.7,22.9,1.8,0.3
nasi_merah,119,2.5,0.8,24.4,1.9,0.3
nugget,303,12.3,17.3,21.8,1.1,1.4
minyak_goreng,886,0.0,93.5,0.0,0.0,0.0
kacang_merah,333,24.0,0.9,59.9,14.8,2.1
hotdog,299,10.4,17.7,21.6,1.0,3.7
donat,419,4.8,25.6,51.7,1.3,29.4
klepon,157,2.0,3.7,27.0,1.5,16.3
pepaya,46,0.5,0.3,11.6,1.5,8.6
kopi,2,0.3,0.0,0.0,0.0,0.0
tomat,20,1.0,0.2,3.8,1.3,2.8
susu_kedelai,52,3.4,1.9,6.5,0.6,3.7
kroket,181,6.4,11.4,18.5,1.9,1.5
selai,268,0.4,0.1,71.2,1.1,46.4
tahu_goreng,146,11.8,9.2,5.4,2.3,0.8
gado-gado,177,7.6,11.5,15.1,4.4,5.5
kue_kering,518,6.3,23.3,69.3,2.0,27.0
kangkung,18,2.7,0.3,3.4,2.1,0.5
soto_ayam,159,16.0,6.2,14.1,1.2,1.9
yogurt,57,3.8,0.4,11.5,0.0,10.7
hotdog,262,10.8,19.7,23.3,0.9,4.0
ayam_goreng,227,28.4,14.7,0.0,0.0,0.0
pempek,245,12.1,8.3,29.8,1.0,3.3
martabak_telur,302,15.3,16.1,25.2,2.0,2.0
hotdog,306,11.0,19.5,23.7,1.0,4.1
sayur_asem,70,2.4,1.6,12.8,2.9,3.8
kacang_tanah,536,25.2,46.0,15.9,8.6,4.3
mie_instan,356,10.7,15.0,52.3,2.6,2.7
puding,146,3.1,2.3,24.2,0.5,23.6
jagung,95,3.5,1.6,21.2,2.6,4.5
bayam,22,3.0,0.4,3.3,2.3,0.4
mie_instan,385,9.4,13.2,47.1,2.3,3.0
puding,147,2.8,2.5,25.2,0.5,23.0
alpukat,168,1.9,15.8,9.7,7.1,0.7
sayur_lodeh,136,4.0,7.7,10.1,2.4,2.8
daging_sapi,265,25.3,13.7,0.0,0.0,0.0
bakso,200,17.9,10.2,8.3,0.5,2.1
klepon,148,1.8,3.6,26.5,1.6,16.1
kacang_merah,310,24.9,1.0,58.3,15.5,2.1
pecel_lele,306,19.3,19.6,13.0,2.0,1.6
siomay,145,9.9,7.6,15.6,1.6,2.1
udang,93,21.6,0.3,0.2,0.0,0.0
kepiting,104,19.7,1.2,0.0,0.0,0.0
jagung,98,3.6,1.6,22.4,2.2,5.1
kopi,2,0.3,0.0,0.0,0.0,0.0
tomat,17,0.9,0.2,3.8,1.3,2.7
puding,129,3.1,2.3,27.8,0.5,22.7
daging_sapi,274,26.0,15.0,0.0,0.0,0.0
kangkung,17,2.8,0.3,3.4,1.9,0.5
mie_instan,342,10.1,12.9,49.6,2.3,3.1
capcay,87,4.3,2.9,13.1,2.9,4.5
mentega,686,0.9,77.7,0.1,0.0,0.1
keju,381,26.0,34.6,1.4,0.0,0.5
edamame,128,10.4,4.9,10.4,5.1,1.9
tomat,18,0.9,0.2,3.7,1.1,2.5
keripik,503,6.4,36.4,47.8,4.5,1.1
cumi-cumi,101,15.9,1.3,2.9,0.0,0.0
ikan_salmon,187,23.6,13.0,0.0,0.0,0.0
coklat,502,5.0,33.7,66.9,7.6,43.2
apel,54,0.3,0.2,12.7,2.5,9.7
sayur_lodeh,135,3.7,7.3,11.8,2.7,2.7
wortel,39,0.8,0.2,10.9,2.5,4.7
rendang,437,24.1,42.9,5.1,0.9,1.8
coklat,529,5.4,29.3,56.4,7.7,51.9
kacang_hijau,330,22.9,1.3,56.8,14.5,7.3
kepiting,103,18.7,1.3,0.0,0.0,0.0
sambal_goreng,135,6.2,9.0,9.3,1.9,3.0
donat,479,5.2,27.3,54.9,1.4,26.7
teh,1,0.0,0.0,0.3,0.0,0.0
kue_kering,539,5.9,23.1,58.9,2.1,28.1
minuman_bersoda,39,0.0,0.0,10.8,0.0,10.5
gado-gado,201,7.9,11.6,16.5,3.7,6.0
rendang,436,23.5,39.5,4.6,1.0,1.8
tomat,19,0.9,0.2,3.6,1.2,2.5
nasi_goreng,331,8.1,13.2,49.3,2.1,3.1
strawberry,32,0.7,0.3,7.8,2.1,4.6
sate_ayam,198,28.4,8.2,2.8,0.3,2.0
melon,37,0.9,0.2,7.5,0.9,8.0
kopi,2,0.3,0.0,0.0,0.0,0.0
strawberry,33,0.7,0.3,8.7,1.9,4.9
alpukat,161,2.2,14.8,8.9,6.4,0.7
telur_rebus,141,14.1,10.3,1.1,0.0,0.6
ikan_salmon,213,20.4,13.4,0.0,0.0,0.0
udang,100,26.4,0.3,0.2,0.0,0.0
minyak_goreng,833,0.0,102.2,0.0,0.0,0.0
opor_ayam,282,25.7,20.1,5.8,1.1,2.1
puding,129,3.2,2.4,23.5,0.5,20.7
apel,54,0.3,0.2,15.3,2.3,11.0
jus_jeruk,48,0.7,0.2,10.9,0.2,8.1
strawberry,30,0.7,0.3,7.2,2.1,5.3
lemper,196,4.5,7.5,29.2,1.2,0.9
keripik,533,6.6,32.8,54.8,4.1,1.0
telur_rebus,170,14.2,11.0,1.2,0.0,0.5
nasi_merah,117,2.2,0.8,23.1,1.9,0.3
minuman_bersoda,38,0.0,0.0,11.8,0.0,10.8
strawberry,29,0.6,0.3,7.4,2.2,5.3
mangga,60,0.7,0.4,13.5,1.7,13.3
kue_lapis,248,5.4,8.6,44.3,1.0,26.7
pepaya,40,0.5,0.3,10.4,1.7,8.6
kepiting,89,21.5,1.4,0.0,0.0,0.0
siomay,153,8.2,6.6,16.1,1.6,2.1
sayur_asem,70,2.3,1.4,11.8,2.7,3.9
mangga,56,0.9,0.4,15.2,1.7,13.9
alpukat,146,1.8,15.5,9.2,6.5,0.7
rendang,485,19.9,36.9,5.4,0.9,2.1
pecel_lele,269,18.7,18.4,11.4,1.8,1.6
jus_jeruk,46,0.7,0.2,10.9,0.2,8.0
kepiting,94,21.7,1.3,0.0,0.0,0.0
jagung,91,3.3,1.4,21.1,2.4,4.6
mie_instan,379,9.9,13.3,48.9,2.5,3.1
risoles,234,7.9,14.0,23.8,1.6,2.1
burger,324,16.7,14.8,26.0,1.4,4.1
daging_kambing,242,26.6,11.9,0.0,0.0,0.0
martabak_manis,370,7.3,19.6,45.5,1.6,28.4
sayur_lodeh,140,4.0,8.0,11.5,2.4,3.3
opor_ayam,342,25.8,22.6,6.0,1.1,2.0
roti_gandum,244,12.0,3.1,37.4,7.2,4.0
ikan_tuna,140,22.1,5.2,0.0,0.0,0.0
onde-onde,237,4.3,8.9,38.2,1.9,18.9
timun,17,0.7,0.1,3.3,0.5,1.9
wortel,45,0.8,0.2,9.5,2.5,5.1
teh,1,0.0,0.0,0.3,0.0,0.0
mie_instan,356,10.7,13.3,47.9,2.5,2.7
bayam,24,2.9,0.4,3.5,2.3,0.4
mangga,59,0.8,0.4,13.6,1.5,15.3
popcorn,378,13.4,4.6,79.1,14.5,1.0
jagung,95,3.2,1.6,20.8,2.3,4.9
kopi,2,0.3,0.0,0.0,0.0,0.0
jeruk,48,0.8,0.1,12.0,2.2,9.1
sambal_goreng,142,5.9,10.0,9.6,2.1,3.0
tomat,17,0.9,0.2,4.1,1.2,2.7
anggur,64,0.7,0.2,17.7,0.8,15.9
anggur,71,0.7,0.2,16.6,0.9,13.9
tomat,17,0.9,0.2,3.6,1.3,2.4
capcay,87,4.4,3.3,11.6,3.0,5.1
daging_sapi,246,25.7,15.2,0.0,0.0,0.0
susu_kedelai,53,3.0,1.8,5.7,0.6,4.4
wortel,40,0.8,0.2,9.2,2.6,4.7
tomat,19,0.9,0.2,3.8,1.1,2.4
mie_ayam,320,12.7,8.5,48.1,1.9,2.8
brokoli,60,3.7,0.6,11.9,3.7,1.6
mentega,772,0.9,80.2,0.1,0.0,0.1
kroket,188,7.1,11.6,19.9,1.8,1.4
jagung,101,3.4,1.5,21.9,2.3,5.1
ikan_salmon,207,22.5,13.5,0.0,0.0,0.0
nasi_putih,131,2.9,0.3,25.3,0.4,0.1
opor_ayam,328,22.5,22.6,6.4,1.1,1.8
hotdog,274,10.9,18.2,20.5,1.0,3.9
kue_kering,507,6.0,22.7,64.9,2.1,28.5
keju,362,24.1,29.9,1.3,0.0,0.5
hotdog,301,10.3,17.9,20.4,1.0,4.2
risoles,233,8.1,13.1,24.1,1.5,2.0
telur_rebus,144,12.5,11.5,1.2,0.0,0.6
kangkung,18,2.5,0.3,2.9,2.1,0.5
keripik,586,6.5,34.0,50.8,4.5,1.0
jagung,96,3.6,1.6,22.3,2.2,4.7
mie_ayam,311,11.5,7.6,40.5,2.0,3.2
risoles,237,7.3,13.1,22.9,1.6,1.9
kentang_goreng,311,3.3,14.8,44.2,4.1,0.3
nasi_putih,123,2.5,0.3,28.5,0.4,0.1
siomay,169,8.7,7.0,14.3,1.5,2.0
daging_sapi,265,28.5,14.9,0.0,0.0,0.0
siomay,149,8.7,7.3,15.7,1.6,1.9
hotdog,262,9.7,19.1,20.9,1.0,3.8
air_kelapa,17,0.7,0.2,4.0,1.0,2.5
gado-gado,194,7.6,12.9,15.2,4.0,6.4
sandwich,280,14.2,11.3,33.2,3.0,4.8
anggur,71,0.6,0.2,17.1,0.9,13.6
lumpia,193,6.5,8.7,19.9,2.0,2.9
anggur,71,0.7,0.2,19.1,0.9,15.1
kopi,2,0.3,0.0,0.0,0.0,0.0
kacang_hijau,313,22.8,1.3,67.9,16.6,7.2
teh,1,0.0,0.0,0.3,0.0,0.0
popcorn,359,14.1,5.1,79.5,15.9,1.0
pecel_lele,312,18.9,16.7,12.4,1.9,1.5
lumpia,183,5.9,8.4,23.3,1.9,3.0
jus_jeruk,43,0.7,0.2,10.5,0.2,8.6
siomay,159,9.6,7.0,14.4,1.6,2.2
coklat,555,5.2,31.6,65.7,6.6,49.9
minuman_bersoda,39,0.0,0.0,11.4,0.0,10.5
coklat,560,5.0,32.7,58.7,7.3,49.7
susu,102,7.4,2.3,11.8,0.0,11.9
kacang_merah,309,24.0,1.0,59.1,15.6,2.0
martabak_manis,411,7.8,17.7,51.1,1.4,25.8
pastel,264,7.0,15.8,28.0,2.1,1.9
daging_kambing,237,27.9,13.3,0.0,0.0,0.0
puding,121,2.7,2.5,23.8,0.5,21.8
daging_sapi,229,28.2,15.4,0.0,0.0,0.0
kepiting,88,21.0,1.4,0.0,0.0,0.0
burger,298,17.4,14.1,24.1,1.4,3.8
